,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability,group,percentile
3601,6407c4bd4d7c3f56aba514ca,120000,Loft,Loft con 1 baño en Ciudad Monumental,927 920 167,Ciudad Monumental,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/parking-trastero/164947781/d?from=list,1,1,60,No,0,No,No,No,No,No,No,3651,12000.0,100.0,90.0,55.15,220.0,38.762499999999996,20000,30611.55559215153,85.03209886708758,520.0,4.754464813594949,2/3,14.473684210526315
37155,6407c4bd4d7c3f56aba597dc,78000,Loft,Loft con calefacción en Ciudad Monumental,927 920 764,Ciudad Monumental,Cáceres Capital,34,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/165358171/d?from=list,1,1,60,No,3,No,No,Yes,No,No,No,37406,7800.0,100.0,90.0,32.050000000000004,178.0,33.3375,0,0.0,0.0,520.0,6.806468531468532,1/3,98.3695652173913
